pi,piName,iec_range,cohort_id,companyId,companyName,avg_monthly_impressions,p99,p100,total_companies_in_cohort
155,IT Services & Consulting,201-500,201-500_155,2449,Adaequare,133.0,28670.0,100078.0,607
91,Engineering & Construction,1001-5000,1001-5000_91,2453,Tecnimont,1798.5,35015.5,74535.5,129
22,FMCG,1001-5000,1001-5000_22,2455,Godrej Consumer Products,4278.5,21805.0,21805.0,68
193,Management Consulting,501-1000,501-1000_193,2456,Zinnov Management Consulting,3300.5,43709.0,43709.0,12
85,Recruitment,5001-10000,5001-10000_85,2459,Future Focus Infotech,431.5,588.0,588.0,6
87,Education & Training,1001-5000,1001-5000_87,2462,GITAM University,2273.0,47351.5,47351.5,79
155,IT Services & Consulting,201-500,201-500_155,2476,Sigma Infosolutions,131.0,28670.0,100078.0,607
17,Defence & Aerospace,1001-5000,1001-5000_17,2478,Data Patterns,2078.5,10281.0,10281.0,16
175,Marketing & Advertising,501-1000,501-1000_175,2481,iQuanti,643.0,16062.5,16062.5,16
157,Software Product,501-1000,501-1000_157,2483,Innovaccer,22195.5,22195.5,22195.5,43
6,Automobile,1001-5000,1001-5000_6,2486,BMW,1695.0,36657.0,36657.0,63
36,Industrial Machinery,501-1000,501-1000_36,2490,Konecranes,2354.5,14989.0,14989.0,100
159,Auto Components,1001-5000,1001-5000_159,2494,AVTEC,482.0,25235.0,32599.5,115
131,Pharma,5001-10000,5001-10000_131,2496,Himalaya Wellness,7873.5,51504.0,51504.0,21
44,Power,5001-10000,5001-10000_44,2499,Wind World,2711.5,71096.5,71096.5,19
155,IT Services & Consulting,51-200,51-200_155,2500,SSM InfoTech Solutions,229.5,24634.5,159944.5,920
95,Banking,10001-50000,10001-50000_95,2511,Jana Small Finance Bank,23754.0,116249.5,116249.5,29
115,Hospitality,501-1000,501-1000_115,2513,Jaypee Hotels,234.5,2780.0,2780.0,27
87,Education & Training,5001-10000,5001-10000_87,2515,Podar International School,9793.0,24309.5,24309.5,22
155,IT Services & Consulting,501-1000,501-1000_155,2517,SoftTech Engineers Limited,289.0,20824.0,40421.0,304
155,IT Services & Consulting,1001-5000,1001-5000_155,2521,Molecular Connections,336.5,89243.5,176256.0,347
145,BPO,1001-5000,1001-5000_145,2522,eNoah iSolution,577.0,34475.5,34475.5,61
111,Consumer Electronics & Appliances,1001-5000,1001-5000_111,2525,Centum Electronics,2727.5,44746.5,44746.5,53
31,Internet,201-500,201-500_31,2527,Internshala,2166.5,21623.5,27051.5,138
155,IT Services & Consulting,51-200,51-200_155,2528,MetaDesign Solutions,263.0,24634.5,159944.5,920
185,Broadcasting,1001-5000,1001-5000_185,2531,Rajasthan Patrika,925.5,1057.5,1057.5,6
91,Engineering & Construction,1001-5000,1001-5000_91,2537,Aarvee Associates,6123.5,35015.5,74535.5,129
145,BPO,1001-5000,1001-5000_145,2538,ArcGate,322.5,34475.5,34475.5,61
155,IT Services & Consulting,1001-5000,1001-5000_155,2540,Experion Technologies,292.0,89243.5,176256.0,347
133,Aviation,201-500,201-500_133,2543,Jet Airways,10147.0,10147.0,10147.0,12
145,BPO,10001-50000,10001-50000_145,2544,R.R. Donnelley,24363.0,332781.5,332781.5,14
49,Retail,1001-5000,1001-5000_49,2545,Tesco,14778.0,14778.0,14778.0,50
